names,wkt_geom,type
1 Люстдорфской|1-я станция Люстдорфская|1-я Люстдорфская,POINT(30.726171 46.437772),station
1 Фонтана|1-я станция Фонтана|1-я Фонтана,POINT(30.745266 46.461010),station
10 Люстдорфской|10-я станция Люстдорфская|10-я Люстдорфская,POINT(30.726893 46.385522),station
10 Фонтана|10-я станция Фонтана|10-я Фонтана,POINT(30.753758 46.414632),station
11 Фонтана|11-я станция Фонтана|11-я Фонтана,POINT(30.755611 46.410684),station
12 Фонтана|12-я станция Фонтана|12-я Фонтана,POINT(30.754707 46.405071),station
13 Фонтана|13-я станция Фонтана|13-я Фонтана,POINT(30.753385 46.402592),station
14 Фонтана|14-я станция Фонтана|14-я Фонтана,POINT(30.749936 46.397865),station
15 Фонтана|15-я станция Фонтана|15-я Фонтана,POINT(30.748117 46.395031),station
16 Фонтана|16-я станция Фонтана|16-я Фонтана,POINT(30.747240 46.391738),station
2 Люстдорфской|2-я станция Люстдорфская|2-я Люстдорфская,POINT(30.727939 46.432075),station
2 Фонтана|2-я станция Фонтана|2-я Фонтана,POINT(30.744107 46.454442),station
3 Люстдорфской|3-я станция Люстдорфская|3-я Люстдорфская,POINT(30.723816 46.425796),station
3 Фонтана|3-я станция Фонтана|3-я Фонтана,POINT(30.743453 46.448991),station
4 Люстдорфской|4-я станция Люстдорфская|4-я Люстдорфская,POINT(30.726139 46.417779),station
4 Фонтана|4-я станция Фонтана|4-я Фонтана,POINT(30.742798 46.443539),station
5 Люстдорфской|5-я станция Люстдорфская|5-я Люстдорфская,POINT(30.727582 46.413915),station
5 Фонтана|5-я станция Фонтана|5-я Фонтана,POINT(30.745746 46.437853),station
6 Люстдорфской|6-я станция Люстдорфская|6-я Люстдорфская,POINT(30.730619 46.405559),station
6 Фонтана|6-я станция Фонтана|6-я Фонтана,POINT(30.748013 46.433674),station
7 Люстдорфской|7-я станция Люстдорфская|7-я Люстдорфская,POINT(30.732432 46.399885),station
7 Фонтана|7-я станция Фонтана|7-я Фонтана,POINT(30.751293 46.427161),station
8 Люстдорфской|8-я станция Люстдорфская|8-я Люстдорфская,POINT(30.734800 46.394059),station
8 Фонтана|8-я станция Фонтана|8-я Фонтана,POINT(30.753149 46.423195),station
9 Люстдорфской|9-я станция Люстдорфская|9-я Люстдорфская,POINT(30.731412 46.386639),station
9 Фонтана|9-я станция Фонтана|9-я Фонтана,POINT(30.753779 46.420050),station
Автостанция привоз|Автостанция старосенная,"POLYGON((30.737904 46.4667116, 30.7378926 46.4666064, 30.7384587 46.4665784, 30.73847 46.4666821, 30.737904 46.4667116))",station
Аэропорт,"LINESTRING(30.6732586 46.4521882, 30.6759145 46.4443519)",station
Аэропортовская,"LINESTRING(30.6592607 46.4503757, 30.6592304 46.4459996, 30.6598019 46.4393732, 30.6594755 46.4391189, 30.6582271 46.4390958, 30.6582898 46.4350428, 30.6580603 46.4343887, 30.6580552 46.4293587, 30.657863 46.4291483, 30.6562803 46.4285118, 30.6544347 46.4280026, 30.6530692 46.4280563, 30.651299 46.4285178, 30.6504981 46.4285363)",station
